ספק / חבילה,סוג,הנחה,שעות בשבוע,תנאים
"אלקטרה
יום",יום,21%,50,"21% הנחה בין 7:00-17:00 בין א-ה
דרוש מונה חכם"
"אלקטרה
לילה פלוס",לילה,21%,40,"21% הנחה בין 23:00-7:00 בין א-ה
דרוש מונה חכם"
"סלקום
חסכון משתלם",יום,20%,50,"20% הנחה בין 7:00-17:00 בין א-ה
דרוש מונה חכם"
"בזק
לילה",לילה,20%,40,"20% הנחה בין 23:00-7:00 בין א-ה
בזק דורשת קבלת חיווי על נתוני האשראי
דרוש מונה חכם"
"הוט
לילה",לילה,20%,40,"20% הנחה בין 23:00-7:00 בין א-ה
דרוש מונה חכם"
"פרטנר
חיות לילה",לילה,20%,40,"20% הנחה בין 23:00-7:00 בין א-ה
דרוש מונה חכם"
"סלקום
חוסכים למשפחה",לילה,18%,30,"18% הנחה בין 20:00-02:00 בין א-ה
דרוש מונה חכם"
"סלקום
לילה",לילה,15%,56,"15% הנחה בין 23:00-7:00 בכל ימות השבוע
דרוש מונה חכם"
"בזק
יום",יום,15%,50,"15% הנחה בין 7:00-17:00 בין א-ה
בזק דורשת קבלת חיווי על נתוני האשראי
דרוש מונה חכם"
"הוט
יום",יום,15%,50,"15% הנחה בין 7:00-17:00 בין א-ה
דרוש מונה חכם"
"פרטנר
עובדים מהבית",יום,15%,50,"15% הנחה בין 7:00-17:00 בין א-ה
דרוש מונה חכם"
"אלקטרה
12x12",יום,12%,84,"12% הנחה בין 5:00-17:00 בכל ימות השבוע
דרוש מונה חכם"
"פזגז
צבירה ל-Yellow",קבועה,10%,168,"10% הנחה על צריכת החשמל, בצבירה לאפליקציית Yellow
עד 600 ש""ח בשנה"
"אלקטרה
פאוור",קבועה,6.50%,168,6.5% הנחה על צריכת החשמל
"סלקום
חסכון פלוס",קבועה,6%,168,"6% הנחה קבועה על צריכת החשמל, כל השבוע"
"פזגז
קבועה",קבועה,6%,168,6% הנחה על צריכת החשמל
"בזק
קבועה",קבועה,6%,168,"6% הנחה על צריכת החשמל
בזק דורשת קבלת חיווי על נתוני האשראי"
"הוט
hot",קבועה,5%,168,"5% הנחה על צריכת החשמל
5% הנחה קבועה בכל שעות היממה."
"פרטנר
קבועה",קבועה,5%,168,"5% הנחה לשנה הראשונה, 6% לשנה השנייה, 7% לשנה"
"הוט
חוסכים קבוע",קבועה,6%,168,"6% הנחה קבועה בכל שעות היממה. ללקוחות הוט, נקסט או הוט מובייל בלבד"
"אמישראגז
הנחה קבועה",קבועה,7%,168,"7% הנחה על צריכת החשמל
ללקוחות אמישראגז בלבד"
